artist_name,track_name,track_id,track_popularity,artist_id,artist_followers,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Mareux,The Perfect Girl,5RBOcBpJXaNnHCGViJmYhh,81,7riQPkkGZBnTh9ve5qIhYo,141076,['dark synthpop'],67,0.485,0.89,8.0,-5.992,0.0,0.0911,0.000872,0.818,0.102,0.258,128.881,194423.0
Morgan Wallen,This Bar,075qcpR3BnxD5CWUIx1HTr,73,4oUHIQIBe0LHzYfvXNW4QM,4325366,"['contemporary country', 'country']",83,0.553,0.884,2.0,-5.306,1.0,0.0771,0.0921,0.00033,0.0463,0.248,110.074,185280.0
INTERWORLD,METAMORPHOSIS,2ksyzVfU0WJoBpu8otr4pz,85,5hKGLu4Ik88FzWcTPhWNTN,42056,[],70,0.593,0.641,7.0,-12.727,0.0,0.0992,0.426,0.901,0.122,0.147,175.014,142839.0
Drake,Girls Want Girls (with Lil Baby),37Nqx7iavZpotJSDXZWbJ3,78,3TVXtAsR1Inumwj472S9r4,69021028,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",97,0.767,0.438,7.0,-8.726,0.0,0.29,0.181,0.0,0.142,0.381,86.975,221980.0
Farruko,Pepas,5fwSHlTEWpluwOM0Sxnh5k,84,329e4yvIujISKGKz1BZZbO,14310147,"['latin hip hop', 'reggaeton', 'trap latino']",83,0.762,0.766,7.0,-3.955,1.0,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120.0
Cody Johnson,Human,5AihIu9yF3flkw1jFMyfwW,73,6zLBxLdl60ekBLpawtT63I,745929,"['contemporary country', 'country', 'country road', 'texas country']",72,0.4,0.647,2.0,-7.279,1.0,0.0337,0.176,5.79e-05,0.11,0.274,84.08,221520.0
24kGoldn,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,82,6fWVd57NKTalqvmjRd2t8Z,1905340,"['cali rap', 'pop', 'pop rap', 'rap']",73,0.701,0.716,7.0,-3.671,0.0,0.0361,0.174,0.0,0.324,0.732,91.007,140533.0
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,84,1uNFoZAHBGtllmzznpCI3s,67640519,"['canadian pop', 'pop']",89,0.677,0.696,0.0,-6.181,1.0,0.119,0.321,0.0,0.42,0.464,90.03,198082.0
Drake,Yebba’s Heartbreak,1PDP7mLiAMwhfmgIwzhOm2,78,3TVXtAsR1Inumwj472S9r4,69021028,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",97,0.476,0.161,8.0,-11.665,0.0,0.0407,0.967,0.0381,0.109,0.0908,119.614,133763.0
Aventura,Volví,2vmfvSoZBFAt9hhRoEByLi,82,1qto4hHid1P71emI6Fd8xi,6604822,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'trap latino', 'tropical']",76,0.725,0.86,1.0,-3.726,1.0,0.182,0.422,0.000284,0.0674,0.791,175.896,230125.0
Olivia Rodrigo,brutal,6SRsiMl7w1USE4mFqrOhHC,79,1McMsnEElThX1knmY4oliG,22059475,['pop'],83,0.672,0.526,4.0,-6.446,1.0,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,143747.0
Taylor Swift,The Way I Loved You (Taylor’s Version),22bPsP2jCgbLUvh82U0Z3M,80,06HL4z0CvFAxyc27GXpf02,62572904,['pop'],100,0.402,0.732,5.0,-4.665,1.0,0.0484,0.0033,0.0,0.108,0.472,161.032,243137.0
Lil Durk,Broadway Girls (feat. Morgan Wallen),3DZ8dbKg4OTSSqGARvecYd,73,3hcs9uc56yIGFCSy9leWe7,4776801,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",82,0.659,0.745,10.0,-3.599,1.0,0.0347,0.0417,0.0,0.296,0.54,74.967,185600.0
Doja Cat,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,80,5cj0lLjcoR7YOSnhnX0Po5,23023983,"['dance pop', 'pop']",86,0.764,0.705,8.0,-3.463,1.0,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667.0
Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),5zFglKYiknIxks8geR8rcL,80,04gDigrS5kc9YWfZHwBETP,38663350,['pop'],84,0.713,0.676,10.0,-5.483,1.0,0.027,0.0377,0.0,0.154,0.721,99.048,227395.0
"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),3EG9FJ0ToLfgnc1IG2Z1wz,75,4V8LLVI7PbaPR0K2TGSxFF,9926658,"['hip hop', 'rap']",83,0.468,0.652,0.0,-4.912,1.0,0.0722,0.333,0.000318,0.55,0.39,140.223,588139.0
